epoch,lr,phase,train_acc,train_loss,val_acc,val_loss,val_macro_f1
1,,frozen,0.20982658959537573,2.9641453230312105,0.3444444537162781,2.7354680750105116,0.22036857389065292
2,,frozen,0.3832369942196532,2.4581908394146517,0.42500001192092896,2.4951732529534234,0.30450505320357674
3,,frozen,0.44277456647398844,2.1759532228370624,0.44999998807907104,2.2227782037523056,0.3612223133045174
4,,frozen,0.5121387283236994,1.967297402420485,0.46666666865348816,2.0726725896199545,0.3996860125631856
5,,frozen,0.5271676300578034,1.8453403588664326,0.4972222149372101,1.996813996632894,0.4512727535679633
1,4.9453690018345144e-05,finetune,0.5982658959537572,1.4282078935920848,0.6000000238418579,1.385105265511407,0.5602254129245126
2,4.783863644106502e-05,finetune,0.661849710982659,1.1061457394175447,0.6333333253860474,1.2510433183776009,0.6081911493432212
3,4.522542485937369e-05,finetune,0.7167630057803468,0.9215230870109073,0.6555555462837219,1.1805494142903221,0.6286995712516542
4,4.172826515897146e-05,finetune,0.7705202312138728,0.745888091511809,0.6499999761581421,1.1174983713361952,0.6277011446146753
5,3.7500000000000003e-05,finetune,0.7953757225433526,0.6648409923377064,0.644444465637207,1.124679825703303,0.6242617752869907
6,3.272542485937369e-05,finetune,0.8242774566473988,0.5739658215142399,0.6722221970558167,1.08924886253145,0.647403944756955
7,2.7613211581691344e-05,finetune,0.8502890173410405,0.4951661738357103,0.6694444417953491,1.1143525256050957,0.6507206087249391
8,2.2386788418308672e-05,finetune,0.8936416184971099,0.40603359538006645,0.6583333611488342,1.110622082153956,0.6496937877783128
9,1.727457514062632e-05,finetune,0.8907514450867052,0.38134592254726873,0.6472222208976746,1.1316910048325857,0.6225211270629676
10,1.2500000000000009e-05,finetune,0.9023121387283237,0.3598079179752769,0.644444465637207,1.1823270267910428,0.6207290970737189
