epoch,lr,phase,train_acc,train_loss,val_acc,val_loss,val_macro_f1
1,,frozen,0.24508670520231213,2.7778737178427635,0.3861111104488373,2.399539179272122,0.2779157615771415
2,,frozen,0.4531791907514451,2.117034578323364,0.47777777910232544,2.0794514497121175,0.40982297176733057
3,,frozen,0.5086705202312138,1.8228490214816409,0.5027777552604675,1.9089621835284762,0.4406205937501459
4,,frozen,0.5445086705202312,1.653804940846614,0.5222222208976746,1.817506162325541,0.4710466810587981
5,,frozen,0.5861271676300578,1.4859968378364696,0.5222222208976746,1.7051149898105198,0.47727237008093
1,9.890738003669029e-05,finetune,0.6479768786127168,1.1565859538282273,0.6305555701255798,1.1985111163722144,0.5939726173401447
2,9.567727288213005e-05,finetune,0.7265895953757225,0.838757996752083,0.6472222208976746,1.0709962036874558,0.6157209962993337
3,9.045084971874738e-05,finetune,0.8040462427745665,0.6186571250761176,0.6194444298744202,1.1345854805575477,0.596982918002913
4,8.345653031794292e-05,finetune,0.8473988439306358,0.4957296778011873,0.6416666507720947,1.0750271227624681,0.6196187495980294
5,7.500000000000001e-05,finetune,0.8849710982658959,0.3805632159889089,0.6361111402511597,1.1453692270649805,0.6253413955704924
6,6.545084971874738e-05,finetune,0.9132947976878613,0.2967551619675807,0.6388888955116272,1.1694650716251798,0.6205703570258954
7,5.522642316338269e-05,finetune,0.9369942196531792,0.2506118575617068,0.6388888955116272,1.1928333871894412,0.6162174389016188
8,4.4773576836617344e-05,finetune,0.9393063583815029,0.20912230245639823,0.675000011920929,1.1997640007072026,0.6603418290498276
9,3.454915028125264e-05,finetune,0.946242774566474,0.19195817424727313,0.6694444417953491,1.1877177400721444,0.6499479029851379
10,2.5000000000000018e-05,finetune,0.9589595375722544,0.16595757591586582,0.6638888716697693,1.130739798148473,0.6469452706398359
11,1.654346968205711e-05,finetune,0.9682080924855492,0.13599441539000914,0.6611111164093018,1.2291939145988888,0.6476234730534104
