epoch,lr,phase,train_acc,train_loss,val_acc,val_loss,val_macro_f1
1,4.9692208514878444e-05,finetune,0.4260115606936416,1.9048419153070175,0.6027777791023254,1.1454957319630517,0.5494122892758957
2,4.877641290737884e-05,finetune,0.6485549132947976,1.0824853912254289,0.6611111164093018,0.9457745836840735,0.6414953490222308
3,4.72751631047092e-05,finetune,0.7092485549132947,0.8801821246700136,0.6833333373069763,0.9534462723467085,0.6605314925147814
4,4.522542485937369e-05,finetune,0.7479768786127168,0.7508257885199751,0.730555534362793,0.7873020387358136,0.7199147715374158
5,4.267766952966369e-05,finetune,0.7763005780346821,0.6692759606190499,0.7250000238418579,0.8545667247639762,0.7156471792624721
6,3.969463130731183e-05,finetune,0.8184971098265896,0.5546547726055101,0.7277777791023254,1.0821122182740106,0.7239590971328658
7,3.634976249348867e-05,finetune,0.8369942196531792,0.49761973071649584,0.7194444537162781,0.9496870985461606,0.7163401986317153
8,3.272542485937369e-05,finetune,0.8479768786127168,0.45279392733567025,0.6972222328186035,1.0698157365951273,0.6714492737718378
9,2.891086162600578e-05,finetune,0.8815028901734104,0.3614694673546477,0.7166666388511658,1.0352945145219565,0.7081358898870531
10,2.5000000000000005e-05,finetune,0.8676300578034682,0.40837003244140935,0.6972222328186035,1.0505003210157156,0.6847716377015955
